source,original_split,original_stem,assigned_split
patok_v2,train,cardriver112_jpeg_jpg.rf.0c37198255cb8175e4673d30a3e4a9b8,train
patok_v2,train,cardriver112_jpeg_jpg.rf.0f680cf19fb33146af27680db91f05f7,train
patok_v2,train,cardriver112_jpeg_jpg.rf.14b215de08097bdbdb0e1fee4f6183f9,train
patok_v2,train,cardriver112_jpeg_jpg.rf.182db5412cb6ff6a8035b6000123a276,test
patok_v2,train,cardriver112_jpeg_jpg.rf.20ae47ce18e4556e415e81b00e7a9536,test
patok_v2,train,cardriver112_jpeg_jpg.rf.25a7bf80bcf549ae97ea6a164a9d354f,train
patok_v2,train,cardriver112_jpeg_jpg.rf.308848bbaaa6a983640da76ac46fedef,train
patok_v2,train,cardriver112_jpeg_jpg.rf.431e01ec687ebd2b4b0f392c985e9bc6,train
patok_v2,train,cardriver112_jpeg_jpg.rf.43e054c6251db41e64114c2a2629993b,train
patok_v2,train,cardriver112_jpeg_jpg.rf.447a7f8a1e7fab27be15d45c9eed2e9e,train
patok_v2,train,cardriver112_jpeg_jpg.rf.469ea15059527b969a49bcb7266698c8,valid
patok_v2,train,cardriver112_jpeg_jpg.rf.4d0e5a3251fe5a92dd63277188a055b4,train
patok_v2,train,cardriver112_jpeg_jpg.rf.4e679dd92b203bd8eb5b0dfd89921c6f,train
patok_v2,train,cardriver112_jpeg_jpg.rf.624fa5234f777ec5f3551e192a332463,test
patok_v2,train,cardriver112_jpeg_jpg.rf.726ceda54784a2aaa4dc621853a97e1d,train
patok_v2,train,cardriver112_jpeg_jpg.rf.7d8841be525e6bf478b79b076ec24c4b,train
patok_v2,train,cardriver112_jpeg_jpg.rf.9927db7a6de9f9bf6675ad81eb71a06b,train
patok_v2,train,cardriver112_jpeg_jpg.rf.a0daf06eec51d9d53d8e5e240c19b601,test
patok_v2,train,cardriver112_jpeg_jpg.rf.a7c714c6e46a79d02f5eba4ecd1bfd05,train
patok_v2,train,cardriver112_jpeg_jpg.rf.aa8c3990299b15a8ed4018244e58f660,train
patok_v2,train,cardriver112_jpeg_jpg.rf.bda9c09555fda51a24bb7fe4923aec80,train
patok_v2,train,cardriver112_jpeg_jpg.rf.c4f9b037a43d330d63375e0bd14f924e,train
patok_v2,train,cardriver112_jpeg_jpg.rf.c94fbe29df8c8107933f9cf31c30749b,train
patok_v2,train,cardriver112_jpeg_jpg.rf.f5030ce4677d5429a8af2c8f9607e17a,train
patok_v2,train,cardriver120_jpeg_jpg.rf.04f1d5fc4c91d405173cd2d095baf202,train
patok_v2,train,cardriver120_jpeg_jpg.rf.346745a08ddf2ee7de20ca6588ab5c6f,train
patok_v2,train,cardriver120_jpeg_jpg.rf.35eb77a9ab6176ba2177b9e2830b0f3d,test
patok_v2,train,cardriver120_jpeg_jpg.rf.3758525a2996d7616ae9533220bce1cd,train
patok_v2,train,cardriver120_jpeg_jpg.rf.382e2cdbd2899949d583a95499d7293b,train
patok_v2,train,cardriver120_jpeg_jpg.rf.6e7517f8bee87481c60cab381e9113b6,test
patok_v2,train,cardriver120_jpeg_jpg.rf.7dfe13c764de90b44d43e0204b24f73c,train
patok_v2,train,cardriver120_jpeg_jpg.rf.9dbbea0e58547b129247715f68ff63d2,train
patok_v2,train,cardriver120_jpeg_jpg.rf.be4622e63037d97c4ed97a1a1beaf4cd,train
patok_v2,train,cardriver120_jpeg_jpg.rf.beefab0a5770bcd87626a3e2a9edd4ae,train
patok_v2,train,cardriver120_jpeg_jpg.rf.d72cdddca9447d88a2fbfba67a192b6d,train
patok_v2,train,cardriver120_jpeg_jpg.rf.db49c55fc3a481f4e1b7ff7dbae68cf9,train
patok_v2,train,cardriver120_jpeg_jpg.rf.e0cedd77ec85e932c8220de52527d53b,train
patok_v2,train,cardriver120_jpeg_jpg.rf.f64e5f57a46f89ae2e52bced6ba8e081,train
patok_v2,train,cardriver124_jpeg_jpg.rf.01a0ef32a5f9733766750fff72ad97c4,train
patok_v2,train,cardriver124_jpeg_jpg.rf.19e104d7cb9fb12533086518319b5750,train
patok_v2,train,cardriver124_jpeg_jpg.rf.2dcb83c7f4e0023a71b0581d519d82d8,train
patok_v2,train,cardriver124_jpeg_jpg.rf.581ec114eb692fe049d654629bbdf4c6,valid
patok_v2,train,cardriver125_jpeg_jpg.rf.8bca4a9a58dfeac7f6f3789887e8256e,train
patok_v2,train,cardriver125_jpeg_jpg.rf.9661542c20adb4744238cd07a74d846a,train
patok_v2,train,cardriver125_jpeg_jpg.rf.b95dbb458e0fc61487c66f08482fb63e,train
patok_v2,train,cardriver125_jpeg_jpg.rf.d9c5655060e77953442ad6fb431de442,test
patok_v2,train,cardriver131_jpeg_jpg.rf.077195a320da146c44baf1383edf8eb6,train
patok_v2,train,cardriver131_jpeg_jpg.rf.1ff0661ea63f2c3044b9c431a8a2c101,train
patok_v2,train,cardriver131_jpeg_jpg.rf.37b113d6829e32f8380628543ebd8a1d,valid
patok_v2,train,cardriver131_jpeg_jpg.rf.4860aa47c930c5019afc56f2e6c58a59,train
patok_v2,train,cardriver131_jpeg_jpg.rf.4cdd8e691cb7c1309886c33361f4df34,valid
patok_v2,train,cardriver131_jpeg_jpg.rf.6e2f1e24716d401e6adca7a6cd7f374c,train
patok_v2,train,cardriver131_jpeg_jpg.rf.7462b44c4fe651694f25408a9dbf6949,train
patok_v2,train,cardriver131_jpeg_jpg.rf.89d80f448cc2f1f1ecc7fd5e23482e15,test
patok_v2,train,cardriver131_jpeg_jpg.rf.aa9dd69d9c2f73d7a86d0170620601cc,train
patok_v2,train,cardriver131_jpeg_jpg.rf.d6d6c33c789dd73037ad68cb6a1ffb2b,train
patok_v2,train,cardriver131_jpeg_jpg.rf.d959c8b9276cb37b2295a23ce04ea18c,train
patok_v2,train,cardriver131_jpeg_jpg.rf.de2da4770fef34664755603fdc842e6f,valid
patok_v2,train,cardriver139_jpeg_jpg.rf.034dde2418918d4f34c63d7c773262db,test
patok_v2,train,cardriver139_jpeg_jpg.rf.61be65f8da8136b88dace96443374dea,train
patok_v2,train,cardriver139_jpeg_jpg.rf.72f2fb9438053cb2dada29cb44e714ce,train
patok_v2,train,cardriver139_jpeg_jpg.rf.7d7fbf0307d3c4f890ff073cda987666,train
patok_v2,train,cardriver150_jpeg_jpg.rf.1c03b8a32613cdbf4fe83a7b7578082b,train
patok_v2,train,cardriver150_jpeg_jpg.rf.6448cf081487a034d4e2238746875cb7,train
patok_v2,train,cardriver150_jpeg_jpg.rf.8bbe1f1f5aec4914edb6cf0eea8f6572,test
patok_v2,train,cardriver150_jpeg_jpg.rf.f240cbee7738287ed525a1ed25a2d95c,train
patok_v2,train,cardriver151_jpeg_jpg.rf.8984de7fd81e199b329a308122a41bfc,train
patok_v2,train,cardriver151_jpeg_jpg.rf.aa8f83f662538122ba86ee31fd9f8c3a,train
patok_v2,train,cardriver151_jpeg_jpg.rf.b493f8cc7e6a4ec6bd10e477d8d5f745,train
patok_v2,train,cardriver151_jpeg_jpg.rf.ee617ae95d2584ddbfe035c19d0305f1,train
patok_v2,train,cardriver152_jpeg_jpg.rf.09dc9f242563fe0442185baf170f842b,valid
patok_v2,train,cardriver152_jpeg_jpg.rf.0bd207092a48aec078d9aff0055d4ff9,train
patok_v2,train,cardriver152_jpeg_jpg.rf.3c19627b726262907541e86d939be7e7,train
patok_v2,train,cardriver152_jpeg_jpg.rf.4af4544ff3117d46de48c28db8020a50,train
patok_v2,train,cardriver152_jpeg_jpg.rf.7f3a02f0adc76f4207fa1f73e0c37d59,train
patok_v2,train,cardriver152_jpeg_jpg.rf.7f76a2a99e095e6b2f47a59e95208047,train
patok_v2,train,cardriver152_jpeg_jpg.rf.8056922b63937f2fa413c4ded8ff6006,test
patok_v2,train,cardriver152_jpeg_jpg.rf.813ba78b9b2cd9b719c5116710db0f50,train
patok_v2,train,cardriver152_jpeg_jpg.rf.8242da9b19c6f018d54e5b7f69eed800,train
patok_v2,train,cardriver152_jpeg_jpg.rf.9b46171d92ac3affe15d62267571a8fe,test
patok_v2,train,cardriver152_jpeg_jpg.rf.9dc302d4d1050f43a63472c2d38a7597,train
patok_v2,train,cardriver152_jpeg_jpg.rf.a160d6dab604e1e8daab2059daa893b1,train
patok_v2,train,cardriver152_jpeg_jpg.rf.e4ee04a55c4a6aba6cc752cba3d749d7,train
patok_v2,train,cardriver152_jpeg_jpg.rf.f76c683591d4370d082656dd5140e35f,train
patok_v2,train,cardriver162_jpeg_jpg.rf.258b2de4fea2447018a20f7803492ea7,valid
patok_v2,train,cardriver162_jpeg_jpg.rf.2c5acb01b7363a54ad2361d7ada69543,train
patok_v2,train,cardriver162_jpeg_jpg.rf.34e3ae58a6ce94d72fe3f64a87f53e34,train
patok_v2,train,cardriver162_jpeg_jpg.rf.546ec67ffe943c896f483e04eb3cf1ae,train
patok_v2,train,cardriver162_jpeg_jpg.rf.5a22ecb7dcd1948f6f794bc9a6de374b,train
patok_v2,train,cardriver162_jpeg_jpg.rf.64e1ee7ba4040f99b4ddb66c75372314,train
patok_v2,train,cardriver162_jpeg_jpg.rf.69f3037a5a624ba578149078218644ab,train
patok_v2,train,cardriver162_jpeg_jpg.rf.6d5789a7dd3a1f4f53899a28709e49f7,train
patok_v2,train,cardriver162_jpeg_jpg.rf.8c4dc769e768808183a0d8e73a6c3ff1,train
patok_v2,train,cardriver162_jpeg_jpg.rf.9501b34df6d20cccd28f41d7f80f2049,train
patok_v2,train,cardriver162_jpeg_jpg.rf.a4b1917aa301056fb23b9e4d0cdc389b,test
patok_v2,train,cardriver162_jpeg_jpg.rf.af130dbcd369967d0b5be793e82ce777,train
patok_v2,train,cardriver162_jpeg_jpg.rf.c949ec2c281534579cc07701ed5dfc3a,train
patok_v2,train,cardriver162_jpeg_jpg.rf.d95adba189a310f7a2e442f66801aa5a,train
patok_v2,train,cardriver21_jpeg_jpg.rf.18061ae84e3cca5cee62f18ed098ece9,train
patok_v2,train,cardriver21_jpeg_jpg.rf.d54c1da9730c6f22ffe3b1a8288972a6,train
patok_v2,train,cardriver32_jpeg_jpg.rf.6949c122c15062f612461b0d57ac8c70,train
patok_v2,train,cardriver32_jpeg_jpg.rf.a67ffe46f4621a0e959b0ff77ad559cb,train
patok_v2,train,cardriver32_jpeg_jpg.rf.e9a2dd524347ba23645ddd987f53d508,train
patok_v2,train,cardriver32_jpeg_jpg.rf.fc9d0cf44d57760dbc425cd4a72d3f7c,valid
patok_v2,train,cardriver36_jpeg_jpg.rf.15cc0bd1a9d011a1cbf37e98a0c7b99c,train
patok_v2,train,cardriver36_jpeg_jpg.rf.1d28d035ebbdf6891f6b9e6be9cffe74,valid
patok_v2,train,cardriver36_jpeg_jpg.rf.1f3582ac57041c44655eb0d36c0e73f7,train
patok_v2,train,cardriver36_jpeg_jpg.rf.28ca6a455efa07b1b2e18660a85453dc,train
patok_v2,train,cardriver36_jpeg_jpg.rf.2de133d2d56ec42808039aec60f1c49f,train
patok_v2,train,cardriver36_jpeg_jpg.rf.66500e58daa0e0fe4528d0ec5db50914,train
patok_v2,train,cardriver36_jpeg_jpg.rf.86bb40438d353ab3005876e72d30c371,train
patok_v2,train,cardriver36_jpeg_jpg.rf.997f4a90e4d500f8b5eb5049612e8873,train
patok_v2,train,cardriver36_jpeg_jpg.rf.affc2acc1a1915d412b9cbd913909ccb,train
patok_v2,train,cardriver36_jpeg_jpg.rf.b37a1e8fd4b7ff270b588c146b54bf08,train
patok_v2,train,cardriver36_jpeg_jpg.rf.c90b6f7135526a6382563a197412c156,train
patok_v2,train,cardriver36_jpeg_jpg.rf.cd03ba985332a11b2fe4700226486d6a,train
patok_v2,train,cardriver3_jpeg_jpg.rf.1ae083d3b8dc07d191066b2c7949c6c2,train
patok_v2,train,cardriver3_jpeg_jpg.rf.219520011d36338384efccb8987b4831,valid
patok_v2,train,cardriver3_jpeg_jpg.rf.2e75d71036a0f1a92c42ee92563f3b14,train
patok_v2,train,cardriver3_jpeg_jpg.rf.4620b066bc99fd354066af04b85fafc1,train
patok_v2,train,cardriver3_jpeg_jpg.rf.86c3106f95611c29d19a69e8c187247c,test
patok_v2,train,cardriver3_jpeg_jpg.rf.8715ae9c814dffcac172fb263af4e978,train
patok_v2,train,cardriver3_jpeg_jpg.rf.8875073fedd18cb814a3ff47d329363d,train
patok_v2,train,cardriver3_jpeg_jpg.rf.9621bad16c67d55528141fc499d248bd,train
patok_v2,train,cardriver3_jpeg_jpg.rf.de3ee0b70e2ba6b78b1f49f20dbd3bd1,train
patok_v2,train,cardriver3_jpeg_jpg.rf.e50ad0bb392abde222ab77802e1a59f0,train
patok_v2,train,cardriver3_jpeg_jpg.rf.fb993245197a5ec2917501e656e80733,train
patok_v2,train,cardriver3_jpeg_jpg.rf.fc76b8d6f09728f80905246427d5e07a,train
patok_v2,train,cardriver4_jpeg_jpg.rf.2c46904f2149a7c02745f3a6290bee86,train
patok_v2,train,cardriver4_jpeg_jpg.rf.55666fdf0ee77428f0bd67de663ed032,train
patok_v2,train,cardriver4_jpeg_jpg.rf.648e886dd94fb5a187025626577f0e3b,train
patok_v2,train,cardriver4_jpeg_jpg.rf.9d6fd11457fde04a9df0b8b36db98602,train
patok_v2,train,cardriver4_jpeg_jpg.rf.9e770c3aaf39440f6b49804533d5a02b,train
patok_v2,train,cardriver4_jpeg_jpg.rf.a6b63edef6629e339888b3bc0f35f625,valid
patok_v2,train,cardriver4_jpeg_jpg.rf.d58f6c499297d56e19ecaf09b9432b7a,train
patok_v2,train,cardriver4_jpeg_jpg.rf.d7708423daccedcbd3bf81896e9cd7d4,train
patok_v2,train,cardriver64_jpeg_jpg.rf.063faafb61cbc6feef46d70546edcbf3,train
patok_v2,train,cardriver64_jpeg_jpg.rf.78f843b147c8db6a0b74eefb0206b9aa,train
patok_v2,train,cardriver78_jpeg_jpg.rf.0672125045d7f96c4e562556f1f11c11,train
patok_v2,train,cardriver78_jpeg_jpg.rf.1300aa681d993f0608581ea01c779013,train
patok_v2,train,cardriver78_jpeg_jpg.rf.19d0f845091e03aa56688a23d21799b6,train
patok_v2,train,cardriver78_jpeg_jpg.rf.1c54a00c449ba1fac21d6a7ebd4ad6b7,train
patok_v2,train,cardriver78_jpeg_jpg.rf.86f41ed9ad1df5bb4b8221598e3fd90b,train
patok_v2,train,cardriver78_jpeg_jpg.rf.8cec3794af6158adf93fdf4a4f52e5ea,train
patok_v2,train,cardriver78_jpeg_jpg.rf.912705caabd46c2fb646be35878db74f,train
patok_v2,train,cardriver78_jpeg_jpg.rf.d236a6137c76453b7296d9a2bec5aece,train
patok_v2,train,cardriver78_jpeg_jpg.rf.d7092806de84d326adbe63c51c4ee9ba,train
patok_v2,train,cardriver78_jpeg_jpg.rf.debece8937afae43dd5d1b19f6abd210,train
patok_v2,train,cardriver78_jpeg_jpg.rf.dff9f80f74a3b98ab8e6289a714b43c2,train
patok_v2,train,cardriver78_jpeg_jpg.rf.e56dbf878563d7db6666ebea0230ba34,train
patok_v2,train,cardriver78_jpeg_jpg.rf.f2ed7a785ebc3eb4a9e71f19511a4319,train
patok_v2,train,cardriver78_jpeg_jpg.rf.fe188aad98f8a390e1eebed06ae03359,train
patok_v2,train,cardriver85_jpeg_jpg.rf.03b87c2441122707e3c8f38ea8acff47,train
patok_v2,train,cardriver85_jpeg_jpg.rf.0a641f5ac6f48f3287d765716969e366,train
patok_v2,train,cardriver85_jpeg_jpg.rf.0b271d47e1aadeba062d27286bdd590a,train
patok_v2,train,cardriver85_jpeg_jpg.rf.0c3976276437be8e2edfbbfbad102509,train
patok_v2,train,cardriver85_jpeg_jpg.rf.0f1066eea6b0e5c345571a24b5b1b072,train
patok_v2,train,cardriver85_jpeg_jpg.rf.1067c824ff96e789315944417a5ca15d,train
patok_v2,train,cardriver85_jpeg_jpg.rf.1ba14de9f3ff8336101bbe9589f856f5,valid
patok_v2,train,cardriver85_jpeg_jpg.rf.41e12d5f03b1cb4eaea623c79f2d9c38,test
patok_v2,train,cardriver85_jpeg_jpg.rf.49eafa030536f4d1d5b5eea481c5e86e,valid
patok_v2,train,cardriver85_jpeg_jpg.rf.5fa7d431e7a260726b8a8e8b7206050a,train
patok_v2,train,cardriver85_jpeg_jpg.rf.698f2e525aeac51eeafc9660e4663505,train
patok_v2,train,cardriver85_jpeg_jpg.rf.6c4a0fce06351149a00c7bbc447dba5b,valid
patok_v2,train,cardriver85_jpeg_jpg.rf.72d16129d8507015c6cb8d5386cd4e13,valid
patok_v2,train,cardriver85_jpeg_jpg.rf.7a57eff571d5b67d0f018d2a40d6ddbf,train
patok_v2,train,cardriver85_jpeg_jpg.rf.7dcdfd1bbe731d0b49ab312abbf97a21,valid
patok_v2,train,cardriver85_jpeg_jpg.rf.a208014c53caab8f7d2ca43fffe60c63,train
patok_v2,train,cardriver85_jpeg_jpg.rf.b97ebc11dad56baa537fb72457a6f024,train
patok_v2,train,cardriver85_jpeg_jpg.rf.fa75fc51c6b0b8cb06ca6f0e5b204412,train
patok_v2,train,cardriver92_jpeg_jpg.rf.019bbe2becd45b91161066ed6f50a30c,train
patok_v2,train,cardriver92_jpeg_jpg.rf.2bc1a3f9119b75470be2b0ae6ba4c9b4,train
patok_v2,train,cardriver92_jpeg_jpg.rf.364ef6bbd682df56559088f14c0e68e6,test
patok_v2,train,cardriver92_jpeg_jpg.rf.5fe8c38a9c4bfcd221266cf0311ea62c,train
patok_v2,train,cardriver92_jpeg_jpg.rf.610dcc07d1baf4b1e2e5008495dbfbbf,train
patok_v2,train,cardriver92_jpeg_jpg.rf.aa5fe9c9224fdab6298be8393d5986ec,train
patok_v2,train,cardriver92_jpeg_jpg.rf.b029e897b21a7cb3b7bc0bc4ae96d132,train
patok_v2,train,cardriver92_jpeg_jpg.rf.c757226dc881794969923bbc05f0d4ea,train
patok_v2,train,cardriver92_jpeg_jpg.rf.e05143e95e5ed96bf6d40a51e8ef03a2,train
patok_v2,train,cardriver92_jpeg_jpg.rf.e290e700e2c9b5c678ffee99e6291cb8,train
patok_v2,train,carpassenger111_jpeg_jpg.rf.6cea237351ba20b6543c2a34d8b4e341,train
patok_v2,train,carpassenger111_jpeg_jpg.rf.aedf22bd227eebdb51ce77d5588bc3b9,train
patok_v2,train,carpassenger112_jpeg_jpg.rf.19f9ac4291df90047b16c7c6ed08bcdb,train
patok_v2,train,carpassenger112_jpeg_jpg.rf.2eecf4df65cb2d84b52f4830acec18fb,train
