epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.0828,1.62616,2.38752,1.87982,0.23882,0.49666,0.29106,0.10191,2.0817,2.26238,2.43699,0.000553302,0.000553302,0.000553302
2,150.582,1.65994,2.14786,1.88057,0.15595,0.30178,0.1382,0.04143,2.61435,2.72857,2.85146,0.00108701,0.00108701,0.00108701
3,222.123,1.66731,2.1455,1.88326,0.43271,0.39276,0.34648,0.12999,1.96997,2.69733,2.31616,0.00159872,0.00159872,0.00159872
4,294.466,1.60936,2.05012,1.83154,0.48256,0.35747,0.38764,0.15928,1.99379,2.32556,2.28514,0.00156798,0.00156798,0.00156798
5,367.655,1.54962,1.9648,1.77309,0.57799,0.58302,0.58977,0.26886,1.739,1.72065,2.08116,0.00153497,0.00153497,0.00153497
6,439.825,1.51667,1.84787,1.74645,0.53872,0.51668,0.54495,0.26157,1.73762,1.76404,2.06039,0.00150197,0.00150197,0.00150197
7,512.176,1.47756,1.7984,1.71704,0.63309,0.62848,0.62213,0.29483,1.73707,1.59236,2.07464,0.00146896,0.00146896,0.00146896
8,584.626,1.43423,1.6862,1.67899,0.63431,0.61519,0.65821,0.34927,1.67547,1.45691,1.97483,0.00143595,0.00143595,0.00143595
9,657.678,1.42317,1.66035,1.67204,0.69973,0.63555,0.69759,0.35666,1.66564,1.42977,1.98277,0.00140295,0.00140295,0.00140295
10,729.54,1.3964,1.63286,1.64608,0.62372,0.64531,0.65712,0.34055,1.63866,1.46991,1.96786,0.00136994,0.00136994,0.00136994
11,801.463,1.38613,1.59724,1.63176,0.68571,0.68745,0.73426,0.39651,1.64267,1.29077,1.93694,0.00133693,0.00133693,0.00133693
12,873.114,1.37314,1.51795,1.61813,0.6642,0.6734,0.71507,0.37867,1.59228,1.3364,1.86811,0.00130393,0.00130393,0.00130393
13,945.103,1.35417,1.50664,1.60672,0.77685,0.69311,0.76428,0.42695,1.62419,1.24928,1.9211,0.00127092,0.00127092,0.00127092
14,1017.46,1.30944,1.45755,1.57628,0.71303,0.70006,0.74703,0.4172,1.56893,1.26035,1.87001,0.00123791,0.00123791,0.00123791
15,1089.21,1.31161,1.40807,1.57397,0.82658,0.67465,0.79581,0.43835,1.53421,1.2241,1.83392,0.00120491,0.00120491,0.00120491
16,1161.93,1.29728,1.39422,1.56461,0.74912,0.729,0.76721,0.4358,1.50142,1.20234,1.84345,0.0011719,0.0011719,0.0011719
17,1233.48,1.27608,1.37622,1.54897,0.76015,0.69079,0.77824,0.43986,1.52326,1.1902,1.84255,0.00113889,0.00113889,0.00113889
18,1306.26,1.24911,1.33684,1.52738,0.75408,0.70044,0.78687,0.47101,1.46011,1.15701,1.79407,0.00110589,0.00110589,0.00110589
19,1378.08,1.23943,1.31053,1.52215,0.8163,0.71582,0.81942,0.49122,1.42502,1.11717,1.74156,0.00107288,0.00107288,0.00107288
20,1450.69,1.22767,1.26828,1.51217,0.80158,0.74751,0.82504,0.50953,1.40321,1.04405,1.73438,0.00103987,0.00103987,0.00103987
21,1522.69,1.20337,1.25236,1.49699,0.78844,0.73321,0.82182,0.50168,1.41066,1.07102,1.72922,0.00100687,0.00100687,0.00100687
22,1595.7,1.19984,1.21951,1.48938,0.73501,0.7739,0.81884,0.4955,1.42441,1.09428,1.74489,0.000973861,0.000973861,0.000973861
23,1667.69,1.19022,1.22396,1.48213,0.80972,0.7758,0.86312,0.52495,1.41044,1.00821,1.72598,0.000940855,0.000940855,0.000940855
24,1740.41,1.15933,1.1925,1.4612,0.83015,0.75453,0.84281,0.52502,1.38989,0.98917,1.7174,0.000907848,0.000907848,0.000907848
25,1812.89,1.15641,1.17968,1.46261,0.79692,0.78531,0.84362,0.53816,1.32112,0.96927,1.67055,0.000874842,0.000874842,0.000874842
26,1885.13,1.1341,1.15951,1.45322,0.85312,0.76437,0.87021,0.55606,1.32659,0.91471,1.65708,0.000841835,0.000841835,0.000841835
27,1957.42,1.1314,1.12653,1.43755,0.80886,0.83261,0.8741,0.56721,1.29987,0.92111,1.64969,0.000808828,0.000808828,0.000808828
28,2029.51,1.09382,1.09081,1.41866,0.80928,0.80423,0.85832,0.5507,1.29874,0.98576,1.64123,0.000775822,0.000775822,0.000775822
29,2101.95,1.08243,1.07315,1.40574,0.82596,0.79449,0.8725,0.58319,1.24621,0.90886,1.59228,0.000742815,0.000742815,0.000742815
30,2173.98,1.09238,1.07007,1.41616,0.8127,0.7815,0.87257,0.56107,1.27837,0.91433,1.61049,0.000709809,0.000709809,0.000709809
31,2247.09,1.05472,1.06121,1.39677,0.83774,0.838,0.88402,0.58406,1.25962,0.84758,1.58497,0.000676802,0.000676802,0.000676802
32,2318.76,1.04488,1.02643,1.38483,0.83953,0.86538,0.90433,0.58882,1.23589,0.84347,1.57436,0.000643795,0.000643795,0.000643795
33,2391.16,1.02215,1.00518,1.37185,0.83841,0.83084,0.90151,0.59416,1.2419,0.81254,1.57228,0.000610789,0.000610789,0.000610789
34,2462.99,1.02011,0.98448,1.36978,0.84663,0.83888,0.89616,0.60195,1.19641,0.83893,1.5421,0.000577782,0.000577782,0.000577782
35,2535.8,1.01663,0.97927,1.35939,0.7975,0.84534,0.88205,0.60245,1.23012,0.82838,1.59159,0.000544776,0.000544776,0.000544776
